AddressID,Pincode,StreetAddress,CityName,StateName
ADDR001,400001,"12B, Marine Drive",Mumbai,Maharashtra
ADDR002,110001,"45, Connaught Place","New Delhi",Delhi
ADDR003,560001,"78, MG Road",Bengaluru,Karnataka
ADDR004,700001,"21, Park Street",Kolkata,"West Bengal"
ADDR005,600001,"10, T Nagar",Chennai,"Tamil Nadu"
ADDR006,500001,"33, Banjara Hills",Hyderabad,Telangana
ADDR007,411001,"5, FC Road",Pune,Maharashtra
ADDR008,380001,"18, CG Road",Ahmedabad,Gujarat
ADDR009,302001,"9, MI Road",Jaipur,Rajasthan
ADDR010,226001,"14, Hazratganj",Lucknow,"Uttar Pradesh"
ADDR011,400050,"201, Juhu Tara Road",Mumbai,Maharashtra
ADDR012,110016,"Hauz Khas Village","New Delhi",Delhi
ADDR013,560038,"Indiranagar 100 Feet Road",Bengaluru,Karnataka
ADDR014,700016,"Ballygunge Circular Road",Kolkata,"West Bengal"
ADDR015,600017,"Besant Nagar Beach Road",Chennai,"Tamil Nadu"
ADDR016,500081,"Gachibowli Main Road",Hyderabad,Telangana
ADDR017,411007,"Aundh IT Park",Pune,Maharashtra
ADDR018,380015,"Satellite Road",Ahmedabad,Gujarat
ADDR019,302004,C-Scheme,Jaipur,Rajasthan
ADDR020,226010,"Gomti Nagar",Lucknow,"Uttar Pradesh"
ADDR021,400053,"Andheri West",Mumbai,Maharashtra
ADDR022,110048,"Greater Kailash 1","New Delhi",Delhi
ADDR023,560078,"Koramangala 5th Block",Bengaluru,Karnataka
ADDR024,700091,"Salt Lake City, Sector V",Kolkata,"West Bengal"
ADDR025,600041,Adyar,Chennai,"Tamil Nadu"
ADDR026,500034,"Jubilee Hills, Road No. 36",Hyderabad,Telangana
ADDR027,411014,"Viman Nagar",Pune,Maharashtra
ADDR028,382481,"Gandhinagar Infocity",Ahmedabad,Gujarat
ADDR029,302017,"Vaishali Nagar",Jaipur,Rajasthan
ADDR030,226016,"Indira Nagar",Lucknow,"Uttar Pradesh"
ADDR031,400028,"Dadar TT Circle",Mumbai,Maharashtra
ADDR032,110057,"Rajouri Garden","New Delhi",Delhi
ADDR033,560011,"Jayanagar 4th Block",Bengaluru,Karnataka
ADDR034,700020,Alipore,Kolkata,"West Bengal"
ADDR035,600086,"Anna Nagar West",Chennai,"Tamil Nadu"
ADDR036,500016,Begumpet,Hyderabad,Telangana
ADDR037,411028,"Hinjewadi Phase 1",Pune,Maharashtra
ADDR038,380054,Bodakdev,Ahmedabad,Gujarat
ADDR039,302021,"Malviya Nagar",Jaipur,Rajasthan
ADDR040,226002,Aliganj,Lucknow,"Uttar Pradesh"
ADDR041,400076,"Powai Lake",Mumbai,Maharashtra
ADDR042,110070,"Vasant Kunj","New Delhi",Delhi
ADDR043,560043,Marathahalli,Bengaluru,Karnataka
ADDR044,700156,"New Town, Action Area 1",Kolkata,"West Bengal"
ADDR045,600020,Velachery,Chennai,"Tamil Nadu"
ADDR046,500032,Madhapur,Hyderabad,Telangana
ADDR047,411057,"Baner Road",Pune,Maharashtra
ADDR048,380009,Navrangpura,Ahmedabad,Gujarat
ADDR049,302015,"Tonk Road",Jaipur,Rajasthan
ADDR050,226024,"Vikas Nagar",Lucknow,"Uttar Pradesh"
ADDR051,400013,"Worli Sea Face",Mumbai,Maharashtra
ADDR052,110008,"Karol Bagh","New Delhi",Delhi
ADDR053,560025,Malleshwaram,Bengaluru,Karnataka
ADDR054,700040,"Howrah AC Market",Kolkata,"West Bengal"
ADDR055,600034,Nungambakkam,Chennai,"Tamil Nadu"
ADDR056,500004,Khairatabad,Hyderabad,Telangana
ADDR057,411038,Kothrud,Pune,Maharashtra
ADDR058,380006,Shahibaug,Ahmedabad,Gujarat
ADDR059,302006,"Raja Park",Jaipur,Rajasthan
ADDR060,226004,Aminabad,Lucknow,"Uttar Pradesh"
ADDR061,122002,"DLF Cyber City",Gurugram,Haryana
ADDR062,122003,"Sector 29",Gurugram,Haryana
ADDR063,122011,"Sohna Road",Gurugram,Haryana
ADDR064,201301,"Sector 18",Noida,"Uttar Pradesh"
ADDR065,201304,"Noida Expressway",Noida,"Uttar Pradesh"
ADDR066,160017,"Sector 17",Chandigarh,Chandigarh
ADDR067,160022,"Sector 22",Chandigarh,Chandigarh
ADDR068,462001,"MP Nagar",Bhopal,"Madhya Pradesh"
ADDR069,452001,"Vijay Nagar",Indore,"Madhya Pradesh"
ADDR070,800001,"Fraser Road",Patna,Bihar
ADDR071,834001,"Main Road",Ranchi,Jharkhand
ADDR072,751001,"Bapuji Nagar",Bhubaneswar,Odisha
ADDR073,781001,"Paltan Bazaar",Guwahati,Assam
